file_accession	experiment_accession	file_format	output_type	assembly	biological_replicates	technical_replicates	download_url
ENCFF792QOH	ENCSR187VEQ	bam	alignments	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF792QOH/@@download/ENCFF792QOH.bam
ENCFF918MZV	ENCSR187VEQ	bam	alignments	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF918MZV/@@download/ENCFF918MZV.bam
ENCFF235GOJ	ENCSR187VEQ	bigWig	minus strand signal of unique reads	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF235GOJ/@@download/ENCFF235GOJ.bigWig
ENCFF896PLI	ENCSR187VEQ	bigWig	minus strand signal of unique reads	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF896PLI/@@download/ENCFF896PLI.bigWig
ENCFF421FJD	ENCSR187VEQ	bed	peaks	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF421FJD/@@download/ENCFF421FJD.bed.gz
ENCFF530VDN	ENCSR187VEQ	bigBed	peaks	GRCh38	1;2	1_1;2_1	https://www.encodeproject.org/files/ENCFF530VDN/@@download/ENCFF530VDN.bigBed
ENCFF626XAA	ENCSR187VEQ	bed	peaks	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF626XAA/@@download/ENCFF626XAA.bed.gz
ENCFF644MXY	ENCSR187VEQ	bigBed	peaks	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF644MXY/@@download/ENCFF644MXY.bigBed
ENCFF673QBV	ENCSR187VEQ	bed	peaks	GRCh38	1;2	1_1;2_1	https://www.encodeproject.org/files/ENCFF673QBV/@@download/ENCFF673QBV.bed.gz
ENCFF992HVN	ENCSR187VEQ	bigBed	peaks	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF992HVN/@@download/ENCFF992HVN.bigBed
ENCFF504BRQ	ENCSR187VEQ	bigWig	plus strand signal of unique reads	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF504BRQ/@@download/ENCFF504BRQ.bigWig
ENCFF945MEA	ENCSR187VEQ	bigWig	plus strand signal of unique reads	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF945MEA/@@download/ENCFF945MEA.bigWig
ENCFF137LSG	ENCSR187VEQ	fastq	reads		1	1_1	https://www.encodeproject.org/files/ENCFF137LSG/@@download/ENCFF137LSG.fastq.gz
ENCFF868WQR	ENCSR187VEQ	fastq	reads		2	2_1	https://www.encodeproject.org/files/ENCFF868WQR/@@download/ENCFF868WQR.fastq.gz
ENCFF432XFH	ENCSR187VEQ	tsv	transcript quantifications	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF432XFH/@@download/ENCFF432XFH.tsv
ENCFF782SZT	ENCSR187VEQ	tsv	transcript quantifications	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF782SZT/@@download/ENCFF782SZT.tsv
ENCFF174CYH	ENCSR187VEQ	bam	unfiltered alignments	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF174CYH/@@download/ENCFF174CYH.bam
ENCFF958TEE	ENCSR187VEQ	bam	unfiltered alignments	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF958TEE/@@download/ENCFF958TEE.bam
ENCFF049KXT	ENCSR268ETU	bam	alignments	hg19	2	2_1	https://www.encodeproject.org/files/ENCFF049KXT/@@download/ENCFF049KXT.bam
ENCFF405ESF	ENCSR268ETU	bam	alignments	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF405ESF/@@download/ENCFF405ESF.bam
ENCFF525XIM	ENCSR268ETU	bam	alignments	hg19	1	1_1	https://www.encodeproject.org/files/ENCFF525XIM/@@download/ENCFF525XIM.bam
ENCFF894NKS	ENCSR268ETU	bam	alignments	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF894NKS/@@download/ENCFF894NKS.bam
ENCFF131UIL	ENCSR268ETU	bigWig	minus strand signal of unique reads	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF131UIL/@@download/ENCFF131UIL.bigWig
ENCFF562ZXX	ENCSR268ETU	bigWig	minus strand signal of unique reads	GRCh38	2	2_1	https://www.encodeproject.org/files/ENCFF562ZXX/@@download/ENCFF562ZXX.bigWig
ENCFF890SLG	ENCSR268ETU	bigWig	minus strand signal of unique reads	hg19	1	1_1	https://www.encodeproject.org/files/ENCFF890SLG/@@download/ENCFF890SLG.bigWig
ENCFF926VXD	ENCSR268ETU	bigWig	minus strand signal of unique reads	hg19	2	2_1	https://www.encodeproject.org/files/ENCFF926VXD/@@download/ENCFF926VXD.bigWig
ENCFF079MYZ	ENCSR268ETU	bed	peaks	hg19	1	1_1	https://www.encodeproject.org/files/ENCFF079MYZ/@@download/ENCFF079MYZ.bed.gz
ENCFF241AOZ	ENCSR268ETU	bed	peaks	GRCh38	1	1_1	https://www.encodeproject.org/files/ENCFF241AOZ/@@download/ENCFF241AOZ.bed.gz
ENCFF448SCQ	ENCSR268ETU	bed	peaks	hg19	1;2	1_1;2_1	https://www.encodeproject.org/files/ENCFF448SCQ/@@download/ENCFF448SCQ.bed.gz
