comparison_type	left_target_label	left_biosample_term_name	right_target_label	right_biosample_term_name	region_class	left_peak_count	right_peak_count	left_fraction	right_fraction	delta_fraction	abs_delta_fraction	left_percent	right_percent	delta_percent	abs_delta_percent
aggregated_same_biosample_diff_target	HNRNPK	HepG2	TARDBP	HepG2	CDS	6039	9519	0.03784	0.059309	0.021469	0.021469	3.784	5.9309	2.1469	2.1469
aggregated_same_biosample_diff_target	HNRNPK	HepG2	TARDBP	HepG2	exon	5028	4261	0.031505	0.026549	-0.004956	0.004956	3.1505	2.6549	-0.4956	0.4956
aggregated_same_biosample_diff_target	HNRNPK	HepG2	TARDBP	HepG2	five_prime_utr	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aggregated_same_biosample_diff_target	HNRNPK	HepG2	TARDBP	HepG2	gene	1300	1944	0.008146	0.012112	0.003966	0.003966	0.8146	1.2112	0.3966	0.3966
aggregated_same_biosample_diff_target	HNRNPK	HepG2	TARDBP	HepG2	intergenic	121	81	0.000758	0.000505	-0.000253	0.000253	0.0758	0.0505	-0.0253	0.0253
aggregated_same_biosample_diff_target	HNRNPK	HepG2	TARDBP	HepG2	intron	129082	128984	0.808815	0.803649	-0.005166	0.005166	80.8815	80.3649	-0.5166	0.5166
aggregated_same_biosample_diff_target	HNRNPK	HepG2	TARDBP	HepG2	three_prime_utr	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aggregated_same_biosample_diff_target	HNRNPK	HepG2	TARDBP	HepG2	utr	18024	15709	0.112937	0.097877	-0.01506	0.01506	11.2937	9.7877	-1.506	1.506
aggregated_same_biosample_diff_target	HNRNPK	K562	TARDBP	K562	CDS	15958	28282	0.087468	0.189117	0.101649	0.101649	8.7468	18.9117	10.1649	10.1649
aggregated_same_biosample_diff_target	HNRNPK	K562	TARDBP	K562	exon	6766	4393	0.037085	0.029375	-0.00771	0.00771	3.7085	2.9375	-0.771	0.771
aggregated_same_biosample_diff_target	HNRNPK	K562	TARDBP	K562	five_prime_utr	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aggregated_same_biosample_diff_target	HNRNPK	K562	TARDBP	K562	gene	1495	1091	0.008194	0.007295	-0.000899	0.000899	0.8194	0.7295	-0.0899	0.0899
aggregated_same_biosample_diff_target	HNRNPK	K562	TARDBP	K562	intergenic	180	93	0.000987	0.000622	-0.000365	0.000365	0.0987	0.0622	-0.0365	0.0365
aggregated_same_biosample_diff_target	HNRNPK	K562	TARDBP	K562	intron	129168	96309	0.707987	0.644001	-0.063986	0.063986	70.7987	64.4001	-6.3986	6.3986
aggregated_same_biosample_diff_target	HNRNPK	K562	TARDBP	K562	three_prime_utr	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aggregated_same_biosample_diff_target	HNRNPK	K562	TARDBP	K562	utr	28877	19380	0.158279	0.12959	-0.028689	0.028689	15.8279	12.959	-2.8689	2.8689
aggregated_same_target_diff_biosample	HNRNPK	HepG2	HNRNPK	K562	CDS	6039	15958	0.03784	0.087468	0.049628	0.049628	3.784	8.7468	4.9628	4.9628
aggregated_same_target_diff_biosample	HNRNPK	HepG2	HNRNPK	K562	exon	5028	6766	0.031505	0.037085	0.00558	0.00558	3.1505	3.7085	0.558	0.558
aggregated_same_target_diff_biosample	HNRNPK	HepG2	HNRNPK	K562	five_prime_utr	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
aggregated_same_target_diff_biosample	HNRNPK	HepG2	HNRNPK	K562	gene	1300	1495	0.008146	0.008194	4.8e-05	4.8e-05	0.8146	0.8194	0.0048	0.0048
aggregated_same_target_diff_biosample	HNRNPK	HepG2	HNRNPK	K562	intergenic	121	180	0.000758	0.000987	0.000229	0.000229	0.0758	0.0987	0.0229	0.0229
