group_type	target_label	biosample_term_name	experiment_accession	selected_file_accession	n_peaks	dominant_region	dominant_region_count	dominant_region_fraction	dominant_region_percent	non_intergenic_fraction	non_intergenic_percent
biosample		HepG2			320092	intron	258066	0.806224	80.6224	0.999369	99.9369
biosample		K562			331992	intron	225477	0.679164	67.9164	0.999178	99.9178
sample	HNRNPK	HepG2	ENCSR828ZID	ENCFF754XAQ	159594	intron	129082	0.808815	80.8815	0.999242	99.9242
sample	HNRNPK	K562	ENCSR953ZOA	ENCFF969JDI	182444	intron	129168	0.707987	70.7987	0.999013	99.9013
sample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	160498	intron	128984	0.803649	80.3649	0.999495	99.9495
sample	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	107504	intron	67905	0.631651	63.1651	0.999405	99.9405
sample	TARDBP	K562	ENCSR720BJU	ENCFF381KTD	42044	intron	28404	0.675578	67.5578	0.99931	99.931
target	HNRNPK				342038	intron	258250	0.755033	75.5033	0.99912	99.912
target	TARDBP				310046	intron	225293	0.726644	72.6644	0.999439	99.9439
target_biosample	HNRNPK	HepG2			159594	intron	129082	0.808815	80.8815	0.999242	99.9242
target_biosample	HNRNPK	K562			182444	intron	129168	0.707987	70.7987	0.999013	99.9013
target_biosample	TARDBP	HepG2			160498	intron	128984	0.803649	80.3649	0.999495	99.9495
target_biosample	TARDBP	K562			149548	intron	96309	0.644001	64.4001	0.999378	99.9378
