comparison_id	priority_rank	priority_level	comparison_scope	comparison_type	left_target_label	left_biosample_term_name	left_experiment_accession	left_selected_file_accession	right_target_label	right_biosample_term_name	right_experiment_accession	right_selected_file_accession	set_name	region_class	input_set_peak_count	region_peak_count	region_fraction_within_set	status	note
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	CDS	118269	7279	0.061546	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	exon	118269	3060	0.025873	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	five_prime_utr	118269	0	0.0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	gene	118269	1682	0.014222	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	intergenic	118269	59	0.000499	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	intron	118269	95130	0.804353	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	three_prime_utr	118269	0	0.0	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	left_specific	utr	118269	11059	0.093507	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	right_specific	CDS	69174	20749	0.299954	ok	region_split_completed
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	1	priority_1	sample	sample_same_target_diff_biosample	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	right_specific	exon	69174	1790	0.025877	ok	region_split_completed
