comparison_id	set_name	region_class	gene_rank	gene_id	gene_name	gene_label	peak_hit_count	unique_peak_count	transcript_count	transcript_ids	peak_hit_fraction_within_set
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	1	ENSG00000155093.20	PTPRN2	PTPRN2	1259	1259	5	ENST00000389413.7;ENST00000389416.8;ENST00000389418.9;ENST00000409483.5;ENST00000436151.5	0.013235
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	2	ENSG00000148655.16	LRMDA	LRMDA	599	599	3	ENST00000372499.5;ENST00000496424.2;ENST00000611255.5	0.006297
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	3	ENSG00000182621.19	PLCB1	PLCB1	592	592	8	ENST00000338037.11;ENST00000378637.6;ENST00000378641.7;ENST00000404098.6;ENST00000441231.2;ENST00000451443.1;ENST00000629992.2;ENST00000637919.1	0.006223
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	4	ENSG00000162105.22	SHANK2	SHANK2	481	481	12	ENST00000338508.9;ENST00000409161.5;ENST00000412252.6;ENST00000601538.6;ENST00000656230.1;ENST00000659264.1;ENST00000663650.1;ENST00000715742.1;ENST00000916035.1;ENST00000916036.1;ENST00000916037.1;ENST00000916038.1	0.005056
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	5	ENSG00000151276.24	MAGI1	MAGI1	410	410	8	ENST00000330909.12;ENST00000402939.7;ENST00000460754.1;ENST00000472514.1;ENST00000483466.5;ENST00000497477.6;ENST00000611645.4;ENST00000621418.4	0.00431
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	6	ENSG00000147257.17	GPC3	GPC3	393	393	7	ENST00000370818.8;ENST00000394299.7;ENST00000631057.2;ENST00000689310.1;ENST00000911059.1;ENST00000925126.1;ENST00000925127.1	0.004131
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	7	ENSG00000112699.12	GMDS	GMDS	336	336	9	ENST00000380815.5;ENST00000530927.5;ENST00000851212.1;ENST00000851213.1;ENST00000920350.1;ENST00000920351.1;ENST00000950952.1;ENST00000950953.1;ENST00000950954.1	0.003532
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	8	ENSG00000152818.20	UTRN	UTRN	330	330	3	ENST00000367524.8;ENST00000367526.8;ENST00000367545.8	0.003469
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	9	ENSG00000075420.14	FNDC3B	FNDC3B	328	328	49	ENST00000336824.8;ENST00000415807.7;ENST00000416957.5;ENST00000421757.5;ENST00000423424.5;ENST00000899158.1;ENST00000899159.1;ENST00000899160.1;ENST00000899161.1;ENST00000899162.1;ENST00000899163.1;ENST00000899164.1;ENST00000899165.1;ENST00000899166.1;ENST00000899167.1;ENST00000899168.1;ENST00000899169.1;ENST00000899170.1;ENST00000899171.1;ENST00000899172.1;ENST00000899173.1;ENST00000899174.1;ENST00000899175.1;ENST00000899176.1;ENST00000899177.1;ENST00000899178.1;ENST00000899179.1;ENST00000899180.1;ENST00000899181.1;ENST00000899182.1;ENST00000899183.1;ENST00000899184.1;ENST00000899185.1;ENST00000899186.1;ENST00000899187.1;ENST00000899188.1;ENST00000926636.1;ENST00000926637.1;ENST00000947473.1;ENST00000947474.1;ENST00000947475.1;ENST00000947476.1;ENST00000947477.1;ENST00000947478.1;ENST00000947479.1;ENST00000947480.1;ENST00000947481.1;ENST00000947482.1;ENST00000947483.1	0.003448
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	intron	10	ENSG00000115504.16	EHBP1	EHBP1	322	322	21	ENST00000263991.9;ENST00000405015.7;ENST00000405289.5;ENST00000431489.6;ENST00000452397.1;ENST00000650490.1;ENST00000766977.1;ENST00000861116.1;ENST00000861117.1;ENST00000861118.1;ENST00000861119.1;ENST00000861120.1;ENST00000861121.1;ENST00000861122.1;ENST00000861123.1;ENST00000861124.1;ENST00000861125.1;ENST00000861126.1;ENST00000861127.1;ENST00000861128.1;ENST00000946019.1	0.003385
