comparison_id	set_name	region_class	gene_rank	gene_id	gene_name	gene_label	peak_hit_count	unique_peak_count	transcript_count	transcript_ids	peak_hit_fraction_within_set
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	1	ENSG00000185420.19	SMYD3	SMYD3	208	208	4	ENST00000403792.7;ENST00000490107.6;ENST00000630181.2;ENST00000651181.1	0.005551
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	2	ENSG00000166501.15	PRKCB	PRKCB	176	176	9	ENST00000321728.12;ENST00000643927.1;ENST00000867666.1;ENST00000914401.1;ENST00000965655.1;ENST00000965656.1;ENST00000965657.1;ENST00000965658.1;ENST00000965659.1	0.004697
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	3	ENSG00000283117.2	MGC4859	MGC4859	174	174	7	ENST00000422697.1;ENST00000634803.1;ENST00000804836.1;ENST00000804837.1;ENST00000804845.1;ENST00000804849.1;ENST00000804851.1	0.004643
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	4	ENSG00000229140.13	CCDC26	CCDC26	165	165	30	ENST00000630386.2;ENST00000642958.2;ENST00000643616.1;ENST00000644194.1;ENST00000663066.2;ENST00000667974.1;ENST00000674580.1;ENST00000674656.1;ENST00000674741.1;ENST00000674762.1;ENST00000675072.1;ENST00000675388.1;ENST00000675393.1;ENST00000675435.1;ENST00000675589.1;ENST00000675599.1;ENST00000675878.1;ENST00000675948.1;ENST00000675970.1;ENST00000676248.1;ENST00000676407.1;ENST00000822340.1;ENST00000822341.1;ENST00000826890.1;ENST00000827342.1;ENST00000827344.1;ENST00000827345.1;ENST00000827350.1;ENST00000827352.1;ENST00000827354.1	0.004403
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	5	ENSG00000185305.12	ARL15	ARL15	140	140	3	ENST00000502271.5;ENST00000504924.6;ENST00000507646.2	0.003736
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	6	ENSG00000196565.15	ENSG00000239920	ENSG00000239920	136	136	4	ENST00000292896.3;ENST00000380237.5;ENST00000380252.6;ENST00000380259.7	0.003629
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	7	ENSG00000239920.2	HBG2	HBG2	136	136	4	ENST00000292896.3;ENST00000380237.5;ENST00000380252.6;ENST00000380259.7	0.003629
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	8	ENSG00000213931.7	HBE1	HBE1	135	135	4	ENST00000292896.3;ENST00000380237.5;ENST00000380252.6;ENST00000380259.7	0.003602
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	9	ENSG00000182256.13	GABRG3	GABRG3	127	127	5	ENST00000333743.10;ENST00000555083.5;ENST00000615808.5;ENST00000660679.1;ENST00000663358.2	0.003389
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	intron	10	ENSG00000290606.3	ENSG00000290606	ENSG00000290606	117	117	18	ENST00000592716.1;ENST00000592931.1;ENST00000593065.6;ENST00000636857.1;ENST00000716068.1;ENST00000716069.1;ENST00000716070.1;ENST00000716071.1;ENST00000716072.1;ENST00000716073.1;ENST00000785636.1;ENST00000785637.1;ENST00000785638.1;ENST00000785639.1;ENST00000785762.1;ENST00000810399.1;ENST00000810402.1;ENST00000810403.1	0.003122
