comparison_id	set_name	region_class	gene_id	gene_name	peak_hit_count	unique_peak_count	transcript_count	transcript_ids
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000127603.32	MACF1	56	56	5	ENST00000361689.7;ENST00000372915.8;ENST00000564288.6;ENST00000567887.5;ENST00000671089.2
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000055609.21	KMT2C	42	42	8	ENST00000262189.11;ENST00000679882.1;ENST00000681082.1;ENST00000682283.1;ENST00000682301.1;ENST00000683490.1;ENST00000683616.1;ENST00000684550.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000173821.20	RNF213	38	38	3	ENST00000319921.4;ENST00000508628.6;ENST00000582970.6
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000127481.15	UBR4	38	38	3	ENST00000375218.3;ENST00000375224.1;ENST00000375254.8
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000047410.14	TPR	37	37	2	ENST00000367478.9;ENST00000613151.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000115464.15	USP34	33	33	1	ENST00000398571.7
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000164199.18	ADGRV1	31	31	1	ENST00000405460.9
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000124942.14	AHNAK	29	29	3	ENST00000257247.11;ENST00000378024.9;ENST00000530124.5
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000126883.20	NUP214	28	28	17	ENST00000359428.10;ENST00000411637.6;ENST00000652454.1;ENST00000897205.1;ENST00000897206.1;ENST00000897207.1;ENST00000897208.1;ENST00000897209.1;ENST00000897210.1;ENST00000922158.1;ENST00000922159.1;ENST00000922160.1;ENST00000922161.1;ENST00000922162.1;ENST00000922163.1;ENST00000922164.1;ENST00000922165.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000130816.18	DNMT1	27	27	11	ENST00000340748.8;ENST00000359526.9;ENST00000676610.1;ENST00000677946.1;ENST00000678804.1;ENST00000679103.1;ENST00000679313.1;ENST00000917926.1;ENST00000917927.1;ENST00000917928.1;ENST00000917929.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000253729.10	PRKDC	27	27	5	ENST00000314191.7;ENST00000338368.7;ENST00000697603.1;ENST00000911723.1;ENST00000911724.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000128731.18	HERC2	25	25	1	ENST00000261609.13
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000177084.20	POLE	25	25	3	ENST00000320574.10;ENST00000535270.5;ENST00000937600.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	right_specific	CDS	ENSG00000117523.18	PRRC2C	25	25	4	ENST00000338920.8;ENST00000367742.7;ENST00000426496.6;ENST00000647382.2
