comparison_id	set_name	region_class	gene_id	gene_name	peak_hit_count	unique_peak_count	transcript_count	transcript_ids
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	intron	ENSG00000157985.20	AGAP1	126	126	10	ENST00000304032.13;ENST00000336665.9;ENST00000409457.5;ENST00000409538.5;ENST00000418654.2;ENST00000448025.6;ENST00000635100.2;ENST00000690935.2;ENST00000699337.1;ENST00000725223.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	intron	ENSG00000142599.21	RERE	108	108	9	ENST00000337907.7;ENST00000377464.5;ENST00000400907.6;ENST00000400908.7;ENST00000465125.2;ENST00000476556.5;ENST00000659924.1;ENST00000704049.1;ENST00000864419.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	intron	ENSG00000197157.12	SND1	102	102	23	ENST00000354725.8;ENST00000903601.1;ENST00000903602.1;ENST00000903603.1;ENST00000903604.1;ENST00000903605.1;ENST00000903606.1;ENST00000903607.1;ENST00000903608.1;ENST00000903609.1;ENST00000915263.1;ENST00000915264.1;ENST00000915265.1;ENST00000915266.1;ENST00000915267.1;ENST00000915268.1;ENST00000944748.1;ENST00000944749.1;ENST00000944750.1;ENST00000944751.1;ENST00000944752.1;ENST00000944753.1;ENST00000944754.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	intron	ENSG00000185420.19	SMYD3	94	94	3	ENST00000403792.7;ENST00000490107.6;ENST00000630181.2
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	intron	ENSG00000153815.18	CMIP	88	88	5	ENST00000398040.8;ENST00000537098.8;ENST00000539778.6;ENST00000566513.5;ENST00000749040.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	intron	ENSG00000167522.18	ANKRD11	82	82	16	ENST00000301030.10;ENST00000378330.7;ENST00000563291.1;ENST00000566858.5;ENST00000567736.6;ENST00000642333.1;ENST00000642600.2;ENST00000642695.1;ENST00000644045.1;ENST00000644784.1;ENST00000646838.1;ENST00000646975.1;ENST00000647238.1;ENST00000657156.1;ENST00000683497.1;ENST00000711617.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	intron	ENSG00000189283.11	FHIT	80	80	3	ENST00000468189.5;ENST00000476844.5;ENST00000492590.6
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	intron	ENSG00000162599.19	NFIA	75	75	31	ENST00000357977.5;ENST00000371184.6;ENST00000371185.6;ENST00000371187.7;ENST00000371189.8;ENST00000371191.5;ENST00000403491.8;ENST00000407417.7;ENST00000442027.6;ENST00000482020.2;ENST00000485903.6;ENST00000630199.2;ENST00000657234.1;ENST00000663597.1;ENST00000664149.1;ENST00000699964.1;ENST00000699965.1;ENST00000699967.1;ENST00000699968.1;ENST00000699986.1;ENST00000699987.1;ENST00000699993.1;ENST00000726048.1;ENST00000872256.1;ENST00000872257.1;ENST00000872258.1;ENST00000872259.1;ENST00000872260.1;ENST00000872261.1;ENST00000920881.1;ENST00000967055.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	intron	ENSG00000167632.19	TRAPPC9	73	73	20	ENST00000438773.4;ENST00000648948.2;ENST00000889101.1;ENST00000889102.1;ENST00000889103.1;ENST00000889104.1;ENST00000889105.1;ENST00000889106.1;ENST00000889107.1;ENST00000889108.1;ENST00000889109.1;ENST00000920031.1;ENST00000920032.1;ENST00000920033.1;ENST00000920034.1;ENST00000920035.1;ENST00000920036.1;ENST00000967712.1;ENST00000967713.1;ENST00000967714.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	intron	ENSG00000184903.10	IMMP2L	72	72	5	ENST00000331762.7;ENST00000405709.7;ENST00000447215.5;ENST00000450877.5;ENST00000452895.5
