peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003011	chr1	32353034	32353076	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000162526.7	TSSK3		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003145	chr1	34832458	34832544	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000163866.10	SMIM12		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003160	chr1	35177447	35177498	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116560.12	SFPQ		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003163	chr1	35182140	35182181	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116560.12	SFPQ		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003164	chr1	35182440	35182472	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116560.12	SFPQ		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003396	chr1	36327336	36327472	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000214193.12	SH3D21		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003397	chr1	36327563	36327675	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000214193.12	SH3D21		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0004958	chr1	54543604	54543655	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000162390.19	ACOT11		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0005266	chr1	65256699	65256819	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116675.16	DNAJC6		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0005269	chr1	65260109	65260172	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116675.16	DNAJC6		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0005274	chr1	65264118	65264172	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116675.16	DNAJC6		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0005275	chr1	65264172	65264262	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116675.16	DNAJC6		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0005277	chr1	65264494	65264549	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116675.16	DNAJC6		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0007178	chr1	147632158	147632214	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000162836.13	ACP6		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0008532	chr1	171799291	171799354	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000010165.21	METTL13		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0010456	chr1	224445600	224445749	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000143786.9	CNIH3		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0010458	chr1	224457293	224457368	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000143786.9	CNIH3		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0011351	chr1	244848171	244848216	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000153187.22	HNRNPU		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0011352	chr1	244848556	244848628	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000153187.22	HNRNPU		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0011353	chr1	244848794	244848843	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000153187.22	HNRNPU		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0012159	chr2	10143525	10143586	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000171848.17	RRM2		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0012163	chr2	10149768	10149853	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000171848.17	RRM2		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0012170	chr2	10161583	10161623	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000171848.17	RRM2		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0012174	chr2	10164001	10164134	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000171848.17	RRM2		1
