comparison_id	set_name	region_class	peak_id	chrom	start	end	primary_region_class	gene_id	gene_name	transcript_ids
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	CDS	TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000146	chr1	1218894	1218950	CDS	ENSG00000078808.21	SDF4	ENST00000263741.12;ENST00000360001.12;ENST00000900948.1;ENST00000900949.1;ENST00000900950.1;ENST00000900951.1;ENST00000900952.1;ENST00000900953.1;ENST00000900954.1;ENST00000900955.1;ENST00000921531.1;ENST00000921532.1;ENST00000921533.1;ENST00000969251.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	CDS	TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000213	chr1	1312867	1312933	CDS	ENSG00000127054.23	INTS11	ENST00000411962.5;ENST00000419704.5;ENST00000421495.6;ENST00000435064.6;ENST00000450926.6;ENST00000540437.5;ENST00000545578.5;ENST00000620829.4;ENST00000891836.1;ENST00000891837.1;ENST00000931667.1;ENST00000931668.1;ENST00000941695.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	CDS	TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000250	chr1	1388028	1388057	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	CDS	TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000252	chr1	1390331	1390372	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	CDS	TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000253	chr1	1390456	1390484	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	CDS	TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000254	chr1	1390484	1390541	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	CDS	TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000259	chr1	1395397	1395439	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000408918.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	CDS	TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000264	chr1	1402210	1402257	CDS	ENSG00000242485.7	MRPL20	ENST00000344843.12;ENST00000872275.1;ENST00000872276.1;ENST00000872277.1;ENST00000914256.1;ENST00000914257.1;ENST00000914258.1;ENST00000914259.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	CDS	TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000596	chr1	6189120	6189200	CDS	ENSG00000116251.12	RPL22	ENST00000929467.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	shared_right	CDS	TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000623	chr1	6526749	6526826	CDS	ENSG00000162408.12	NOL9	ENST00000377705.6;ENST00000870262.1;ENST00000870263.1;ENST00000870264.1;ENST00000870265.1;ENST00000925477.1;ENST00000925478.1
