peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000043	chr1	944239	944249	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000187634.14;ENSG00000188976.12	NOC2L;SAMD11	ENST00000327044.7;ENST00000342066.8;ENST00000616016.5;ENST00000618323.5;ENST00000870725.1;ENST00000870726.1;ENST00000870727.1;ENST00000870728.1;ENST00000870729.1;ENST00000870730.1;ENST00000870731.1;ENST00000870732.1;ENST00000870733.1;ENST00000870734.1;ENST00000870735.1;ENST00000870736.1;ENST00000870737.1;ENST00000870738.1;ENST00000870739.1;ENST00000934932.1;ENST00000934933.1;ENST00000934934.1;ENST00000934935.1;ENST00000934936.1;ENST00000934937.1;ENST00000934938.1;ENST00000934939.1;ENST00000934940.1;ENST00000934941.1;ENST00000934942.1;ENST00000934943.1;ENST00000934944.1;ENST00000934945.1;ENST00000934946.1;ENST00000934947.1;ENST00000934948.1;ENST00000934949.1;ENST00000934950.1;ENST00000934951.1;ENST00000934952.1;ENST00000934953.1;ENST00000934954.1;ENST00000934955.1;ENST00000934956.1;ENST00000934957.1;ENST00000934958.1;ENST00000934959.1;ENST00000968542.1;ENST00000968543.1;ENST00000968544.1;ENST00000968805.1;ENST00000968806.1;ENST00000968807.1;ENST00000968808.1;ENST00000968809.1;ENST00000968810.1;ENST00000968811.1;ENST00000968812.1;ENST00000968813.1;ENST00000968814.1;ENST00000968815.1;ENST00000968816.1;ENST00000968817.1;ENST00000968818.1;ENST00000968819.1;ENST00000968820.1;ENST00000968821.1;ENST00000968822.1;ENST00000968823.1;ENST00000968824.1	70
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000044	chr1	944534	944546	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000187634.14;ENSG00000188976.12	NOC2L;SAMD11	ENST00000327044.7;ENST00000342066.8;ENST00000616016.5;ENST00000618323.5;ENST00000870725.1;ENST00000870726.1;ENST00000870727.1;ENST00000870728.1;ENST00000870729.1;ENST00000870730.1;ENST00000870731.1;ENST00000870732.1;ENST00000870733.1;ENST00000870734.1;ENST00000870735.1;ENST00000870736.1;ENST00000870737.1;ENST00000870738.1;ENST00000870739.1;ENST00000934932.1;ENST00000934933.1;ENST00000934934.1;ENST00000934935.1;ENST00000934936.1;ENST00000934937.1;ENST00000934938.1;ENST00000934939.1;ENST00000934940.1;ENST00000934941.1;ENST00000934942.1;ENST00000934943.1;ENST00000934944.1;ENST00000934945.1;ENST00000934946.1;ENST00000934947.1;ENST00000934948.1;ENST00000934949.1;ENST00000934950.1;ENST00000934951.1;ENST00000934952.1;ENST00000934953.1;ENST00000934954.1;ENST00000934955.1;ENST00000934956.1;ENST00000934957.1;ENST00000934958.1;ENST00000934959.1;ENST00000968542.1;ENST00000968543.1;ENST00000968544.1;ENST00000968805.1;ENST00000968806.1;ENST00000968807.1;ENST00000968808.1;ENST00000968809.1;ENST00000968810.1;ENST00000968811.1;ENST00000968812.1;ENST00000968813.1;ENST00000968814.1;ENST00000968815.1;ENST00000968816.1;ENST00000968817.1;ENST00000968818.1;ENST00000968819.1;ENST00000968820.1;ENST00000968821.1;ENST00000968822.1;ENST00000968823.1;ENST00000968824.1	70
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000077	chr1	998984	999018	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000188290.12	HES4	ENST00000304952.11;ENST00000428771.6;ENST00000484667.2;ENST00000854802.1	4
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000120	chr1	1055770	1055809	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000188157.16	AGRN	ENST00000379370.7;ENST00000620552.4;ENST00000652369.2	3
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000143	chr1	1112447	1112470	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000131591.19	C1orf159	ENST00000962844.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000161	chr1	1233638	1233676	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000176022.7	B3GALT6	ENST00000379198.5	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000162	chr1	1233715	1233753	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000176022.7	B3GALT6	ENST00000379198.5	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000163	chr1	1254947	1254975	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000160087.22	UBE2J2	ENST00000347370.6;ENST00000349431.11;ENST00000905705.1;ENST00000905706.1;ENST00000905707.1;ENST00000905708.1;ENST00000905709.1;ENST00000905710.1;ENST00000905711.1;ENST00000905712.1;ENST00000905713.1;ENST00000905714.1;ENST00000919402.1;ENST00000919403.1;ENST00000919404.1;ENST00000954858.1;ENST00000954859.1	17
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000176	chr1	1267874	1267884	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000160087.22	UBE2J2	ENST00000347370.6	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000223	chr1	1318672	1318700	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000127054.23	INTS11	ENST00000429572.5	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000229	chr1	1320990	1321043	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000127054.23	INTS11	ENST00000545578.5	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000230	chr1	1326063	1326094	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000224051.8	CPTP	ENST00000900281.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000231	chr1	1335354	1335359	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000107404.22	DVL1	ENST00000378888.10;ENST00000378891.9;ENST00000874577.1;ENST00000911402.1;ENST00000954312.1;ENST00000954313.1;ENST00000954314.1;ENST00000954315.1	8
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000232	chr1	1335785	1335798	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000107404.22	DVL1	ENST00000378888.10;ENST00000378891.9;ENST00000874577.1;ENST00000911402.1;ENST00000954312.1;ENST00000954313.1;ENST00000954314.1;ENST00000954315.1	8
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000248	chr1	1374772	1374783	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000175756.15	AURKAIP1	ENST00000321751.9;ENST00000338338.10;ENST00000338370.7;ENST00000378853.3;ENST00000883185.1;ENST00000883186.1;ENST00000883187.1;ENST00000883188.1;ENST00000883189.1;ENST00000883190.1;ENST00000883191.1;ENST00000883192.1;ENST00000929719.1;ENST00000929720.1;ENST00000929721.1	15
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000249	chr1	1386870	1386904	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1	10
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000263	chr1	1402058	1402112	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000242485.7	MRPL20	ENST00000344843.12;ENST00000872275.1;ENST00000872276.1;ENST00000872277.1;ENST00000914256.1;ENST00000914257.1;ENST00000914258.1;ENST00000914259.1	8
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000277	chr1	1489203	1489224	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000160072.21	ATAD3B	ENST00000308647.8	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000281	chr1	1490253	1490307	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000160072.21	ATAD3B	ENST00000308647.8	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000294	chr1	1541728	1541763	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000160075.13	SSU72	ENST00000291386.4;ENST00000851386.1;ENST00000851387.1;ENST00000851388.1;ENST00000929201.1;ENST00000929202.1	6
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000298	chr1	1563120	1563153	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000160075.13	SSU72	ENST00000359060.5	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000323	chr1	1663748	1663783	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000189339.13	SLC35E2B	ENST00000611123.1;ENST00000617444.5;ENST00000904336.1;ENST00000904337.1;ENST00000904338.1;ENST00000911898.1;ENST00000911899.1;ENST00000911901.1	8
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000348	chr1	1751723	1751750	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000008130.16	NADK	ENST00000341426.9;ENST00000341991.7;ENST00000378625.5;ENST00000886130.1;ENST00000886131.1;ENST00000886132.1;ENST00000886133.1;ENST00000886134.1;ENST00000886135.1;ENST00000886136.1;ENST00000886137.1;ENST00000886138.1;ENST00000886139.1;ENST00000886140.1;ENST00000886141.1;ENST00000886142.1;ENST00000886143.1;ENST00000886144.1;ENST00000931657.1;ENST00000931658.1;ENST00000931659.1;ENST00000931660.1;ENST00000931662.1;ENST00000953973.1;ENST00000953974.1	25
