comparison_id	set_name	region_class	gene_id	gene_name	peak_hit_count	unique_peak_count	transcript_count	transcript_ids
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000084674.15	APOB	119	119	2	ENST00000233242.5;ENST00000399256.4
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000115414.22	FN1	118	118	21	ENST00000323926.10;ENST00000336916.8;ENST00000354785.11;ENST00000356005.8;ENST00000357867.8;ENST00000359671.5;ENST00000421182.5;ENST00000426059.1;ENST00000432072.6;ENST00000443816.5;ENST00000446046.5;ENST00000865084.1;ENST00000865085.1;ENST00000865086.1;ENST00000865087.1;ENST00000865088.1;ENST00000865089.1;ENST00000933287.1;ENST00000967217.1;ENST00000967218.1;ENST00000967219.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000130702.15	LAMA5	51	51	1	ENST00000252999.7
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000091513.17	TF	41	41	6	ENST00000402696.9;ENST00000877245.1;ENST00000877246.1;ENST00000877247.1;ENST00000877248.1;ENST00000877249.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000023839.12	ABCC2	40	40	2	ENST00000647814.1;ENST00000648689.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000125730.19	C3	40	40	8	ENST00000245907.11;ENST00000695653.1;ENST00000695693.1;ENST00000879543.1;ENST00000879544.1;ENST00000879545.1;ENST00000879546.1;ENST00000952696.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000169710.10	FASN	38	38	8	ENST00000306749.4;ENST00000634990.1;ENST00000940341.1;ENST00000940342.1;ENST00000940343.1;ENST00000940344.1;ENST00000940345.1;ENST00000940346.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000175899.16	A2M	30	30	18	ENST00000318602.12;ENST00000891824.1;ENST00000891825.1;ENST00000891826.1;ENST00000891827.1;ENST00000891828.1;ENST00000891829.1;ENST00000891830.1;ENST00000891831.1;ENST00000891832.1;ENST00000891833.1;ENST00000891834.1;ENST00000891835.1;ENST00000956132.1;ENST00000956133.1;ENST00000956134.1;ENST00000956135.1;ENST00000956136.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000151914.22	DST	29	29	11	ENST00000244364.10;ENST00000312431.10;ENST00000340834.10;ENST00000361203.7;ENST00000370765.11;ENST00000370788.6;ENST00000421834.7;ENST00000449297.7;ENST00000518935.5;ENST00000520645.6;ENST00000680361.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000123384.14	LRP1	29	29	1	ENST00000243077.8
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000127481.15	UBR4	28	28	4	ENST00000375218.3;ENST00000375224.1;ENST00000375225.7;ENST00000375254.8
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000142798.20	HSPG2	27	27	1	ENST00000374695.8
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000081051.8	AFP	26	26	2	ENST00000226359.2;ENST00000395792.7
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000092758.19	COL9A3	26	26	4	ENST00000649368.1;ENST00000894732.1;ENST00000934235.1;ENST00000934236.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000151655.20	ITIH2	26	26	20	ENST00000358415.9;ENST00000379587.4;ENST00000899752.1;ENST00000899753.1;ENST00000899754.1;ENST00000899755.1;ENST00000899756.1;ENST00000899757.1;ENST00000899758.1;ENST00000899759.1;ENST00000899760.1;ENST00000899761.1;ENST00000899762.1;ENST00000899763.1;ENST00000899764.1;ENST00000899765.1;ENST00000899766.1;ENST00000899767.1;ENST00000899768.1;ENST00000899769.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000163631.20	ALB	24	24	53	ENST00000295897.9;ENST00000401494.7;ENST00000415165.6;ENST00000503124.5;ENST00000509063.5;ENST00000876006.1;ENST00000876007.1;ENST00000876008.1;ENST00000876009.1;ENST00000876010.1;ENST00000876011.1;ENST00000876012.1;ENST00000876013.1;ENST00000876014.1;ENST00000876015.1;ENST00000876016.1;ENST00000876017.1;ENST00000876018.1;ENST00000876019.1;ENST00000876020.1;ENST00000876021.1;ENST00000876022.1;ENST00000876023.1;ENST00000876024.1;ENST00000876025.1;ENST00000876026.1;ENST00000876027.1;ENST00000876028.1;ENST00000876029.1;ENST00000876030.1;ENST00000876031.1;ENST00000876032.1;ENST00000876033.1;ENST00000876034.1;ENST00000876035.1;ENST00000876036.1;ENST00000876037.1;ENST00000876038.1;ENST00000876039.1;ENST00000876040.1;ENST00000876041.1;ENST00000876042.1;ENST00000876043.1;ENST00000876044.1;ENST00000876045.1;ENST00000876046.1;ENST00000876047.1;ENST00000876048.1;ENST00000876049.1;ENST00000876050.1;ENST00000876051.1;ENST00000876052.1;ENST00000944004.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000115760.16	BIRC6	22	22	3	ENST00000421745.7;ENST00000700518.1;ENST00000700519.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000182871.17	COL18A1	22	22	27	ENST00000355480.10;ENST00000359759.8;ENST00000651438.1;ENST00000859059.1;ENST00000859060.1;ENST00000859061.1;ENST00000859062.1;ENST00000859063.1;ENST00000859064.1;ENST00000859065.1;ENST00000859066.1;ENST00000859067.1;ENST00000859068.1;ENST00000859069.1;ENST00000930594.1;ENST00000930595.1;ENST00000930596.1;ENST00000930597.1;ENST00000930598.1;ENST00000930599.1;ENST00000930600.1;ENST00000930601.1;ENST00000930602.1;ENST00000970097.1;ENST00000970098.1;ENST00000970099.1;ENST00000970100.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000152818.20	UTRN	22	22	3	ENST00000367524.8;ENST00000367526.8;ENST00000367545.8
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000189056.15	RELN	20	20	3	ENST00000343529.9;ENST00000424685.3;ENST00000428762.6
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	ENSG00000169432.19	SCN9A	20	20	5	ENST00000303354.11;ENST00000409672.5;ENST00000454569.6;ENST00000642356.2;ENST00000645907.1
