peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000014	chr1	629900	629977	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000225630.1	MTND2P28	ENST00000457540.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000015	chr1	633975	634036	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000248527.1	MTATP6P1	ENST00000514057.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000032	chr1	808184	808253	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000237491.11	LINC01409	ENST00000443772.2	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000039	chr1	855260	855329	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000228794.13	LINC01128	ENST00000445118.7	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000041	chr1	855397	855440	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000228794.13	LINC01128	ENST00000445118.7	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000042	chr1	855440	855515	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000228794.13	LINC01128	ENST00000445118.7	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000420	chr1	2183531	2183578	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000182873.5	PRKCZ-AS1	ENST00000333854.2;ENST00000444529.1	2
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000526	chr1	3737899	3737951	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000293478.2	GFOD3P	ENST00000647817.1;ENST00000649123.1;ENST00000649348.1	3
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000529	chr1	3740056	3740110	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000293478.2	GFOD3P	ENST00000647817.1;ENST00000648553.1;ENST00000649123.1	3
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000534	chr1	3746269	3746317	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000293478.2	GFOD3P	ENST00000418088.6;ENST00000647817.1;ENST00000648553.1;ENST00000649123.1;ENST00000649348.1	5
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0001167	chr1	11908200	11908236	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000199347.2;ENSG00000285646.3	ENSG00000285646;RNU5E-1	ENST00000362477.2;ENST00000649268.2;ENST00000660618.1;ENST00000661075.1;ENST00000833922.1	5
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0001168	chr1	11908236	11908259	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000199347.2;ENSG00000285646.3	ENSG00000285646;RNU5E-1	ENST00000362477.2;ENST00000649268.2;ENST00000660618.1;ENST00000661075.1;ENST00000833922.1	5
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0001499	chr1	16621880	16621921	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000291072.2	ENSG00000291072	ENST00000715311.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0001505	chr1	16627152	16627224	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000215908.12;ENSG00000291072.2	CROCCP2;ENSG00000291072	ENST00000412962.4;ENST00000639456.2;ENST00000639594.1	3
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0001507	chr1	16630365	16630388	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000291072.2	ENSG00000291072	ENST00000362058.2	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0001508	chr1	16632293	16632328	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000215908.12;ENSG00000291072.2	CROCCP2;ENSG00000291072	ENST00000362058.2;ENST00000412962.4;ENST00000639456.2;ENST00000715313.1	4
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0001698	chr1	19411512	19411542	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000306364.1	ENSG00000306364	ENST00000817245.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002499	chr1	27773924	27773961	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000269971.1	ENSG00000269971	ENST00000602607.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002508	chr1	27834426	27834479	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000252947.1	SCARNA1	ENST00000517138.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002509	chr1	27834479	27834564	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000252947.1	SCARNA1	ENST00000517138.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002537	chr1	28174025	28174064	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000298310.1	ENSG00000298310	ENST00000754753.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002576	chr1	28507361	28507404	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000274266.1	SNORA73A	ENST00000364938.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002577	chr1	28507535	28507559	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000274266.1	SNORA73A	ENST00000364938.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002578	chr1	28507559	28507572	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000274266.1	SNORA73A	ENST00000364938.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002580	chr1	28508566	28508595	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000200087.1	SNORA73B	ENST00000363217.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002581	chr1	28508632	28508678	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000200087.1	SNORA73B	ENST00000363217.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002582	chr1	28508722	28508733	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000200087.1	SNORA73B	ENST00000363217.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002583	chr1	28508733	28508749	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000200087.1	SNORA73B	ENST00000363217.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002584	chr1	28508751	28508762	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000200087.1	SNORA73B	ENST00000363217.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002586	chr1	28509659	28509674	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000242125.3	SNHG3	ENST00000413987.1	1
