peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0007211	chr1	149884388	149884412	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0011847	chr1	247952304	247952344	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0025358	chr3	184197874	184197923	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0033779	chr5	140558156	140558196	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0036602	chr6	27631490	27631522	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0037852	chr6	42747668	42747704	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0037853	chr6	42748446	42748469	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0037855	chr6	42759783	42759876	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0037859	chr6	42768162	42768196	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0037860	chr6	42771974	42772004	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0037862	chr6	42781747	42781765	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0043388	chr7	47958343	47958389	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0056610	chr9	136841635	136841671	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0061628	chr11	5248107	5248179	1000	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
