peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000156	chr1	1218878	1218947	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000078808.21	SDF4	ENST00000263741.12;ENST00000360001.12;ENST00000900948.1;ENST00000900949.1;ENST00000900950.1;ENST00000900951.1;ENST00000900952.1;ENST00000900953.1;ENST00000900954.1;ENST00000900955.1;ENST00000921531.1;ENST00000921532.1;ENST00000921533.1;ENST00000969251.1	14
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000226	chr1	1312931	1312950	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000127054.23	INTS11	ENST00000411962.5;ENST00000419704.5;ENST00000421495.6;ENST00000435064.6;ENST00000450926.6;ENST00000540437.5;ENST00000545578.5;ENST00000620829.4;ENST00000891836.1;ENST00000891837.1;ENST00000931667.1;ENST00000931668.1;ENST00000941695.1	13
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000276	chr1	1387953	1388065	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1	10
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000278	chr1	1390325	1390372	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1	10
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000279	chr1	1390458	1390560	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1	10
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000290	chr1	1395409	1395443	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000408918.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1	10
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000296	chr1	1402223	1402261	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000242485.7	MRPL20	ENST00000344843.12;ENST00000872275.1;ENST00000872276.1;ENST00000872277.1;ENST00000914256.1;ENST00000914257.1;ENST00000914258.1;ENST00000914259.1	8
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000324	chr1	1627588	1627679	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000197530.14	MIB2	ENST00000355826.10;ENST00000378708.5;ENST00000378712.5;ENST00000504599.6;ENST00000505820.7;ENST00000518681.6;ENST00000520777.6;ENST00000889171.1;ENST00000889172.1;ENST00000889173.1;ENST00000889174.1;ENST00000889175.1;ENST00000889176.1;ENST00000889177.1;ENST00000889178.1;ENST00000889179.1;ENST00000889180.1;ENST00000889181.1;ENST00000889182.1;ENST00000889183.1;ENST00000889184.1;ENST00000889185.1;ENST00000889186.1;ENST00000889187.1;ENST00000889188.1;ENST00000889189.1;ENST00000889190.1;ENST00000889191.1;ENST00000889192.1;ENST00000889193.1;ENST00000889194.1;ENST00000889195.1;ENST00000889196.1;ENST00000889197.1;ENST00000889198.1;ENST00000889199.1;ENST00000889200.1;ENST00000889202.1;ENST00000889203.1;ENST00000889204.1;ENST00000889205.1;ENST00000933979.1;ENST00000933980.1;ENST00000933981.1;ENST00000933982.1;ENST00000933983.1;ENST00000958537.1;ENST00000958538.1;ENST00000958539.1;ENST00000958540.1;ENST00000958541.1;ENST00000958542.1;ENST00000958543.1;ENST00000958544.1;ENST00000958545.1;ENST00000958546.1;ENST00000958547.1;ENST00000958548.1;ENST00000958549.1;ENST00000958551.1;ENST00000958552.1;ENST00000958554.1;ENST00000958559.1;ENST00000958560.1;ENST00000958561.1;ENST00000958562.1;ENST00000958563.1;ENST00000958564.1;ENST00000958565.1;ENST00000958566.1;ENST00000958567.1;ENST00000958568.1;ENST00000958569.1;ENST00000958570.1;ENST00000958571.1;ENST00000958572.1;ENST00000958573.1;ENST00000958574.1;ENST00000958575.1;ENST00000958576.1;ENST00000958577.1;ENST00000958578.1;ENST00000958579.1;ENST00000958580.1;ENST00000958581.1;ENST00000958582.1;ENST00000958583.1;ENST00000958584.1;ENST00000958585.1;ENST00000958587.1;ENST00000958588.1;ENST00000958589.1;ENST00000958590.1;ENST00000958591.1;ENST00000958592.1;ENST00000958593.1;ENST00000958594.1;ENST00000958595.1;ENST00000958596.1;ENST00000958597.1;ENST00000958598.1;ENST00000958599.1;ENST00000958600.1;ENST00000958601.1;ENST00000958602.1;ENST00000958603.1;ENST00000958604.1;ENST00000958605.1;ENST00000958606.1;ENST00000958607.1;ENST00000958608.1;ENST00000958609.1;ENST00000958610.1;ENST00000958611.1;ENST00000958612.1;ENST00000958613.1;ENST00000958614.1;ENST00000958615.1;ENST00000958616.1;ENST00000958617.1;ENST00000958618.1;ENST00000958619.1;ENST00000958620.1;ENST00000958621.1;ENST00000958622.1;ENST00000958623.1;ENST00000958624.1;ENST00000958625.1;ENST00000958626.1;ENST00000958627.1;ENST00000958628.1;ENST00000958629.1;ENST00000958630.1;ENST00000958631.1;ENST00000958632.1;ENST00000958633.1	136
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000330	chr1	1669734	1669848	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000189339.13	SLC35E2B	ENST00000611123.1;ENST00000617444.5;ENST00000904336.1;ENST00000904337.1;ENST00000904338.1;ENST00000904339.1;ENST00000904340.1;ENST00000911898.1;ENST00000911899.1;ENST00000911900.1;ENST00000911901.1;ENST00000956985.1	12
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000910	chr1	6189149	6189187	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000116251.12	RPL22	ENST00000929467.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000945	chr1	6526770	6526822	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000162408.12	NOL9	ENST00000377705.6;ENST00000870262.1;ENST00000870263.1;ENST00000870264.1;ENST00000870265.1;ENST00000925477.1;ENST00000925478.1	7
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000971	chr1	6680907	6680961	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000007923.18	DNAJC11	ENST00000294401.11;ENST00000377577.10;ENST00000885067.1;ENST00000885068.1;ENST00000885069.1;ENST00000885070.1;ENST00000885071.1;ENST00000885072.1;ENST00000939001.1;ENST00000939002.1;ENST00000939003.1;ENST00000954225.1	12
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001241	chr1	8495116	8495157	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	CDS	ENSG00000142599.21	RERE	ENST00000337907.7;ENST00000377464.5;ENST00000400907.6;ENST00000400908.7;ENST00000659924.1;ENST00000704049.1;ENST00000864419.1	7
