peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000007	chr1	463784	463824	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000290385.2	ENSG00000290385		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0002951	chr1	32047090	32047115	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000121774.19	KHDRBS1		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003012	chr1	32357612	32357647	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000162526.7	TSSK3		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003142	chr1	34730028	34730051	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000163866.10	SMIM12		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003144	chr1	34810204	34810265	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000163866.10	SMIM12		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003146	chr1	34842277	34842313	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000163866.10	SMIM12		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003158	chr1	35176422	35176470	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116560.12	SFPQ		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003159	chr1	35177337	35177373	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116560.12	SFPQ		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003161	chr1	35180754	35180777	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116560.12	SFPQ		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003162	chr1	35180852	35180891	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116560.12	SFPQ		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0003165	chr1	35182812	35182827	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116560.12	SFPQ		1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0005023	chr1	58436856	58436882	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000162600.13;ENSG00000173406.17	DAB1;OMA1		2
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0005262	chr1	65254514	65254562	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	gene	ENSG00000116675.16	DNAJC6		1
