peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0023056	chr3	96617966	96618030	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0037854	chr6	42755214	42755283	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0037856	chr6	42765613	42765692	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0037857	chr6	42767225	42767276	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0037858	chr6	42767939	42767965	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0037861	chr6	42781600	42781660	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0062012	chr11	10508928	10508998	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0091722	chr19	302383	302474	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0091723	chr19	303141	303219	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0091724	chr19	303515	303567	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0091725	chr19	303923	303998	1000	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0091726	chr19	304242	304269	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0099496	chr21	5103749	5103781	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0107479	chr14_GL000194v1_random	72101	72136	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0107481	chr14_GL000194v1_random	78303	78327	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0107482	chr14_GL000194v1_random	78537	78623	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0107489	chr14_GL000194v1_random	91405	91453	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0107490	chr14_GL000194v1_random	92220	92266	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0107491	chr14_GL000194v1_random	92591	92638	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0107492	chr14_GL000194v1_random	96529	96585	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0107494	chr14_GL000194v1_random	99561	99610	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0107498	chr1_KI270711v1_random	8146	8192	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	intergenic				0
