peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000001	chr1	17460	17517	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000310526.1	WASH7P	ENST00000831289.1;ENST00000831355.1;ENST00000831582.1	3
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000002	chr1	189406	189467	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000310527.1	WASH9P	ENST00000831445.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000007	chr1	631814	631895	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000237973.1	MTCO1P12	ENST00000414273.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000027	chr1	842844	842865	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000228794.13	LINC01128	ENST00000669922.2;ENST00000670780.1	2
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000031	chr1	855520	855563	1000	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000228794.13	LINC01128	ENST00000445118.7	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000133	chr1	1062240	1062254	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000273443.2	ENSG00000273443	ENST00000442292.2;ENST00000800041.1	2
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000134	chr1	1062385	1062436	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000273443.2	ENSG00000273443	ENST00000442292.2	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000135	chr1	1062498	1062524	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000273443.2	ENSG00000273443	ENST00000442292.2	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000140	chr1	1065308	1065356	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000217801.13;ENSG00000291156.2	ENSG00000291156;PTPN11BP	ENST00000412397.2;ENST00000799588.1	2
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000232	chr1	1317662	1317692	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000240731.1	ENSG00000240731	ENST00000444968.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000233	chr1	1317783	1317812	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000240731.1	ENSG00000240731	ENST00000444968.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000235	chr1	1318587	1318639	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000240731.1	ENSG00000240731	ENST00000444968.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000294	chr1	1401687	1401757	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000224870.10	MRPL20-AS1	ENST00000780221.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000417	chr1	1892309	1892365	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000231050.4	GNB1-DT	ENST00000689170.2;ENST00000798459.1;ENST00000798461.1;ENST00000798462.1	4
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000452	chr1	2143819	2143886	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000271806.1	ENSG00000271806	ENST00000606533.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000481	chr1	2182812	2182843	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000182873.5	PRKCZ-AS1	ENST00000444529.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000832	chr1	3736493	3736538	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000293478.2	GFOD3P	ENST00000418088.6	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000834	chr1	3739600	3739661	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000293478.2	GFOD3P	ENST00000648553.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000841	chr1	3785280	3785333	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000272153.1	ENSG00000272153	ENST00000607459.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001041	chr1	7411695	7411735	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000294314.1	ENSG00000294314	ENST00000722702.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001083	chr1	7776430	7776474	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000269925.1	ENSG00000269925	ENST00000602406.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001128	chr1	8026880	8026981	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000238290.2	ERRFI1-DT	ENST00000445300.2;ENST00000777653.1;ENST00000777655.1	3
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001129	chr1	8077504	8077520	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000238290.2	ERRFI1-DT	ENST00000777658.1;ENST00000777659.1	2
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001138	chr1	8093998	8094031	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000301325.1	ENSG00000301325	ENST00000778015.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001139	chr1	8094907	8094950	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000301325.1	ENSG00000301325	ENST00000778014.1;ENST00000778015.1	2
