peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001822	chr1	11646582	11646663	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000116661.12	FBXO2		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0002889	chr1	23304423	23304490	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000125944.23	HNRNPR		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003027	chr1	24636034	24636098	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000133226.20	SRRM1		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003688	chr1	32046882	32046935	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000121774.19	KHDRBS1		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003689	chr1	32051418	32051446	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000121774.19	KHDRBS1		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003690	chr1	32052114	32052181	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000121774.19	KHDRBS1		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003876	chr1	34745370	34745400	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000163866.10	SMIM12		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003893	chr1	35178555	35178581	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000116560.12	SFPQ		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003894	chr1	35178679	35178687	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000116560.12	SFPQ		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003895	chr1	35178814	35178868	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000116560.12	SFPQ		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003896	chr1	35179135	35179159	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000116560.12	SFPQ		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003897	chr1	35180348	35180395	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000116560.12	SFPQ		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003898	chr1	35180484	35180516	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000116560.12	SFPQ		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003899	chr1	35180571	35180608	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000116560.12	SFPQ		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003900	chr1	35180942	35180992	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000116560.12	SFPQ		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003901	chr1	35181338	35181358	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000116560.12	SFPQ		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0004073	chr1	36327275	36327297	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000214193.12	SH3D21		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0004382	chr1	41921909	41921935	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000127124.16	HIVEP3		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0005202	chr1	46769962	46769982	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000142973.17	CYP4B1		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0005750	chr1	55348005	55348027	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000233079.4	LINC01755		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0005816	chr1	56644772	56644821	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000162407.10	PLPP3		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0005854	chr1	57665736	57665740	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000173406.17	DAB1		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0005855	chr1	57665740	57665757	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000173406.17	DAB1		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0005856	chr1	57846804	57846831	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000173406.17	DAB1		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0005859	chr1	58118237	58118289	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000173406.17	DAB1		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0005860	chr1	58158851	58158878	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000173406.17	DAB1		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0005861	chr1	58178279	58178337	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000173406.17	DAB1		1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0005862	chr1	58217446	58217491	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	gene	ENSG00000173406.17	DAB1		1
