comparison_id	set_name	region_class	peak_id	chrom	start	end	primary_region_class	gene_id	gene_name	transcript_ids
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000033	chr1	945476	945519	CDS	ENSG00000188976.12	NOC2L	ENST00000327044.7;ENST00000870725.1;ENST00000870726.1;ENST00000870727.1;ENST00000870728.1;ENST00000870729.1;ENST00000870730.1;ENST00000870731.1;ENST00000870732.1;ENST00000870733.1;ENST00000870734.1;ENST00000870735.1;ENST00000870736.1;ENST00000870737.1;ENST00000870738.1;ENST00000870739.1;ENST00000934932.1;ENST00000934933.1;ENST00000934934.1;ENST00000934935.1;ENST00000934936.1;ENST00000934937.1;ENST00000934938.1;ENST00000934939.1;ENST00000934940.1;ENST00000934941.1;ENST00000934942.1;ENST00000934943.1;ENST00000934944.1;ENST00000934945.1;ENST00000934946.1;ENST00000934947.1;ENST00000934948.1;ENST00000934949.1;ENST00000934950.1;ENST00000934951.1;ENST00000934952.1;ENST00000934953.1;ENST00000934954.1;ENST00000934955.1;ENST00000934956.1;ENST00000934957.1;ENST00000934958.1;ENST00000934959.1;ENST00000968805.1;ENST00000968806.1;ENST00000968807.1;ENST00000968808.1;ENST00000968809.1;ENST00000968810.1;ENST00000968811.1;ENST00000968812.1;ENST00000968813.1;ENST00000968814.1;ENST00000968815.1;ENST00000968816.1;ENST00000968817.1;ENST00000968818.1;ENST00000968819.1;ENST00000968820.1;ENST00000968821.1;ENST00000968822.1;ENST00000968823.1;ENST00000968824.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000056	chr1	999800	999841	CDS	ENSG00000188290.12	HES4	ENST00000428771.6
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000210	chr1	1304102	1304136	CDS	ENSG00000131584.20	ACAP3	ENST00000354700.10;ENST00000892719.1;ENST00000892720.1;ENST00000969099.1;ENST00000969100.1;ENST00000969101.1;ENST00000969102.1;ENST00000969103.1;ENST00000969104.1;ENST00000969105.1;ENST00000969106.1;ENST00000969107.1;ENST00000969108.1;ENST00000969109.1;ENST00000969110.1;ENST00000969111.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000211	chr1	1304636	1304664	CDS	ENSG00000131584.20	ACAP3	ENST00000969101.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000225	chr1	1312040	1312103	CDS	ENSG00000127054.23	INTS11	ENST00000411962.5;ENST00000419704.5;ENST00000421495.6;ENST00000435064.6;ENST00000450926.6;ENST00000540437.5;ENST00000545578.5;ENST00000620829.4;ENST00000891836.1;ENST00000891837.1;ENST00000931667.1;ENST00000931668.1;ENST00000941695.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000227	chr1	1313028	1313119	CDS	ENSG00000127054.23	INTS11	ENST00000411962.5;ENST00000419704.5;ENST00000421495.6;ENST00000435064.6;ENST00000450926.6;ENST00000540437.5;ENST00000545578.5;ENST00000620829.4;ENST00000891836.1;ENST00000891837.1;ENST00000931667.1;ENST00000931668.1;ENST00000941695.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000236	chr1	1318878	1318959	CDS	ENSG00000127054.23	INTS11	ENST00000429572.5
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000270	chr1	1354700	1354780	CDS	ENSG00000162576.18	MXRA8	ENST00000309212.11;ENST00000342753.8;ENST00000445648.5;ENST00000477278.3;ENST00000897927.1;ENST00000953649.1;ENST00000953650.1;ENST00000953651.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000271	chr1	1356681	1356701	CDS	ENSG00000162576.18	MXRA8	ENST00000309212.11;ENST00000342753.8;ENST00000445648.5;ENST00000477278.3;ENST00000897927.1;ENST00000953650.1;ENST00000953651.1
sample__TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__VS__TARDBP__K562__ENCSR584TCR__ENCFF606RXB	left_specific	CDS	TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000274	chr1	1387438	1387490	CDS	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1
