peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000131	chr1	1055055	1055118	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000188157.16	AGRN	ENST00000379370.7;ENST00000620552.4;ENST00000652369.2	3
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000177	chr1	1229836	1229933	1000	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000078808.21	SDF4	ENST00000900953.1;ENST00000921532.1	2
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000189	chr1	1268029	1268095	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000160087.22	UBE2J2	ENST00000905714.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000196	chr1	1272552	1272687	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000160087.22	UBE2J2	ENST00000919403.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000295	chr1	1401957	1401984	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000242485.7	MRPL20	ENST00000344843.12;ENST00000872275.1;ENST00000872276.1;ENST00000872277.1;ENST00000914256.1;ENST00000914257.1;ENST00000914258.1;ENST00000914259.1	8
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000316	chr1	1561879	1561954	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000160075.13	SSU72	ENST00000359060.5	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000318	chr1	1562940	1562986	1000	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000160075.13	SSU72	ENST00000359060.5	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000320	chr1	1564343	1564421	1000	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000160075.13	SSU72	ENST00000359060.5	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000323	chr1	1616704	1616767	1000	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000197530.14	MIB2	ENST00000889175.1;ENST00000889198.1;ENST00000958549.1;ENST00000958565.1;ENST00000958566.1;ENST00000958568.1;ENST00000958605.1	7
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000332	chr1	1683497	1683569	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000189339.13	SLC35E2B	ENST00000911901.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000352	chr1	1771528	1771594	1000	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000008130.16	NADK	ENST00000931663.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000374	chr1	1840485	1840567	1000	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000078369.20	GNB1	ENST00000916706.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000388	chr1	1853961	1854026	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000078369.20	GNB1	ENST00000703708.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000404	chr1	1876777	1876798	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000078369.20	GNB1	ENST00000703701.1;ENST00000916702.1	2
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000408	chr1	1881093	1881140	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000078369.20	GNB1	ENST00000916715.1	1
