peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000119	chr1	1055057	1055103	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000188157.16	AGRN	ENST00000379370.7;ENST00000620552.4;ENST00000652369.2	3
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000160	chr1	1229847	1229926	1000	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000078808.21	SDF4	ENST00000900953.1;ENST00000921532.1	2
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000177	chr1	1268050	1268084	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000160087.22	UBE2J2	ENST00000905714.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000185	chr1	1272555	1272596	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000160087.22	UBE2J2	ENST00000919403.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000186	chr1	1272596	1272645	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000160087.22	UBE2J2	ENST00000919403.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000262	chr1	1401972	1402014	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000242485.7	MRPL20	ENST00000344843.12;ENST00000872275.1;ENST00000872276.1;ENST00000872277.1;ENST00000914256.1;ENST00000914257.1;ENST00000914258.1;ENST00000914259.1	8
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000296	chr1	1561873	1561931	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000160075.13	SSU72	ENST00000359060.5	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000297	chr1	1562916	1562982	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000160075.13	SSU72	ENST00000359060.5	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000299	chr1	1564335	1564410	1000	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000160075.13	SSU72	ENST00000359060.5	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000304	chr1	1616707	1616808	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000197530.14	MIB2	ENST00000889175.1;ENST00000889198.1;ENST00000958549.1;ENST00000958565.1;ENST00000958566.1;ENST00000958568.1;ENST00000958605.1	7
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000327	chr1	1683527	1683564	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000189339.13	SLC35E2B	ENST00000911901.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000359	chr1	1771520	1771588	1000	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000008130.16	NADK	ENST00000931663.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000398	chr1	1853940	1854025	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000078369.20	GNB1	ENST00000703708.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000409	chr1	1876748	1876785	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000078369.20	GNB1	ENST00000703701.1;ENST00000916702.1	2
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000412	chr1	1881083	1881137	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000078369.20	GNB1	ENST00000916715.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000416	chr1	1890933	1890959	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000078369.20	GNB1	ENST00000378609.9;ENST00000610897.4;ENST00000899367.1;ENST00000899368.1;ENST00000899369.1;ENST00000899370.1;ENST00000899372.1;ENST00000899381.1;ENST00000899382.1;ENST00000899383.1;ENST00000899385.1;ENST00000916683.1;ENST00000916684.1;ENST00000916685.1;ENST00000916686.1;ENST00000916687.1;ENST00000916688.1;ENST00000916689.1;ENST00000916690.1;ENST00000916691.1;ENST00000916692.1;ENST00000916693.1;ENST00000916694.1;ENST00000916695.1;ENST00000916696.1;ENST00000916697.1;ENST00000916698.1;ENST00000916699.1;ENST00000916700.1;ENST00000916704.1;ENST00000916706.1;ENST00000916707.1;ENST00000916708.1;ENST00000947516.1;ENST00000947517.1;ENST00000947518.1;ENST00000947519.1;ENST00000947520.1;ENST00000947521.1;ENST00000947522.1;ENST00000947523.1;ENST00000947524.1;ENST00000947525.1;ENST00000947526.1;ENST00000947527.1;ENST00000947528.1;ENST00000947529.1;ENST00000947531.1;ENST00000947538.1	49
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000479	chr1	2308465	2308520	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000157933.12	SKI	ENST00000378536.5;ENST00000851187.1	2
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000490	chr1	2393622	2393668	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000157916.21	RER1	ENST00000874476.1;ENST00000920621.1;ENST00000954669.1	3
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000491	chr1	2393812	2393888	1000	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000157916.21	RER1	ENST00000874476.1;ENST00000920621.1;ENST00000954669.1	3
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000525	chr1	3735909	3735946	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000078900.17	TP73	ENST00000378288.8;ENST00000378295.9;ENST00000604074.5;ENST00000713570.1;ENST00000713572.1;ENST00000908821.1	6
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000586	chr1	6027255	6027305	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	utr	ENSG00000069424.16	KCNAB2	ENST00000669250.1	1
