peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0033900	chr3	96617966	96618007	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054152	chr6	42755216	42755262	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054154	chr6	42765595	42765652	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054158	chr6	42767223	42767281	1000	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054159	chr6	42767938	42767954	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054161	chr6	42781589	42781668	1000	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0091544	chr11	10508879	10508966	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0138258	chr19	302426	302476	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0138262	chr19	303156	303212	1000	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0138263	chr19	303522	303569	1000	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0138264	chr19	303917	303967	1000	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0138267	chr19	304237	304288	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0150437	chr21	5103735	5103790	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0160478	chr14_GL000194v1_random	72117	72162	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0160481	chr14_GL000194v1_random	78312	78348	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0160482	chr14_GL000194v1_random	78595	78622	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0160483	chr14_GL000194v1_random	91432	91477	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0160484	chr14_GL000194v1_random	92209	92273	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0160485	chr14_GL000194v1_random	92592	92633	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0160486	chr14_GL000194v1_random	96551	96584	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0160488	chr14_GL000194v1_random	99580	99604	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0160493	chr1_KI270711v1_random	8154	8233	1000	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
