peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0009179	chr1	161363362	161363405	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0012062	chr1	244835353	244835381	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0012063	chr1	244835531	244835572	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0014457	chr2	29058899	29058961	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0033135	chr3	70953756	70953814	1000	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0033894	chr3	96617497	96617506	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0033895	chr3	96617555	96617589	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0033896	chr3	96617589	96617621	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0033897	chr3	96617683	96617724	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0033898	chr3	96617775	96617841	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0033899	chr3	96617884	96617966	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054146	chr6	42747097	42747157	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054147	chr6	42747619	42747656	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054148	chr6	42748951	42748979	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054149	chr6	42752930	42752965	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054150	chr6	42753453	42753511	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054151	chr6	42754999	42755047	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054153	chr6	42756491	42756541	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054155	chr6	42765736	42765776	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054156	chr6	42766033	42766065	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054157	chr6	42766296	42766336	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0054160	chr6	42779177	42779240	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0068566	chr7	142667507	142667579	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0071089	chr8	11762470	11762494	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0080829	chr9	122676104	122676144	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0089682	chr10	122434440	122434473	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0091540	chr11	10507913	10507971	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0091541	chr11	10508028	10508052	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0091542	chr11	10508118	10508144	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	intergenic				0
