peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000132	chr1	1055668	1055688	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000188157.16	AGRN	ENST00000379370.7;ENST00000620552.4;ENST00000652369.2	3
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000142	chr1	1107006	1107077	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000131591.19	C1orf159	ENST00000962845.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000153	chr1	1112380	1112413	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000131591.19	C1orf159	ENST00000962844.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000176	chr1	1228798	1228844	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000078808.21	SDF4	ENST00000263741.12;ENST00000360001.12;ENST00000900948.1;ENST00000900949.1;ENST00000900950.1;ENST00000900951.1;ENST00000900952.1;ENST00000900953.1;ENST00000900954.1;ENST00000900955.1;ENST00000921530.1;ENST00000921531.1;ENST00000921532.1;ENST00000921533.1;ENST00000969251.1;ENST00000969252.1	16
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000188	chr1	1267819	1267851	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000160087.22	UBE2J2	ENST00000347370.6	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000190	chr1	1268415	1268478	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000160087.22	UBE2J2	ENST00000905711.1;ENST00000905714.1;ENST00000919404.1;ENST00000954858.1;ENST00000954859.1	5
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000240	chr1	1323059	1323082	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000127054.23	INTS11	ENST00000540437.5	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000241	chr1	1326708	1326748	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000224051.8	CPTP	ENST00000900281.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000242	chr1	1328467	1328514	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000224051.8	CPTP	ENST00000343938.9;ENST00000900278.1;ENST00000900279.1;ENST00000900280.1;ENST00000900281.1;ENST00000900282.1;ENST00000900283.1;ENST00000956293.1	8
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000273	chr1	1387193	1387207	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000221978.14	CCNL2	ENST00000400809.8;ENST00000858595.1;ENST00000858596.1;ENST00000858597.1;ENST00000858598.1;ENST00000858599.1;ENST00000934645.1;ENST00000934646.1;ENST00000934647.1;ENST00000941190.1	10
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000286	chr1	1392403	1392421	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000221978.14	CCNL2	ENST00000408918.8	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000301	chr1	1435467	1435503	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000179403.13	VWA1	ENST00000895634.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000302	chr1	1435713	1435768	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000179403.13	VWA1	ENST00000338660.5;ENST00000476993.2;ENST00000895634.1;ENST00000895635.1	4
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000305	chr1	1439163	1439239	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000179403.13	VWA1	ENST00000338660.5	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000306	chr1	1439326	1439407	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000179403.13	VWA1	ENST00000338660.5	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000307	chr1	1440176	1440230	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000179403.13	VWA1	ENST00000338660.5;ENST00000476993.2;ENST00000895634.1;ENST00000895635.1	4
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000308	chr1	1440293	1440319	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000179403.13	VWA1	ENST00000338660.5;ENST00000476993.2;ENST00000895634.1;ENST00000895635.1	4
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000309	chr1	1440630	1440656	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	utr	ENSG00000179403.13	VWA1	ENST00000338660.5;ENST00000476993.2;ENST00000895634.1;ENST00000895635.1	4
