peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000001	chr1	16260	16321	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000310526.1	WASH7P	ENST00000831158.1;ENST00000831487.1	2
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000006	chr1	281326	281391	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000286448.2	ENSG00000286448	ENST00000784893.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000033	chr1	808255	808292	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000237491.11	LINC01409	ENST00000443772.2	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000036	chr1	852738	852766	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000228794.13	LINC01128	ENST00000445118.7;ENST00000608189.6;ENST00000657837.1;ENST00000658846.2;ENST00000666741.3;ENST00000670780.1;ENST00000685764.3;ENST00000691234.3;ENST00000691316.1;ENST00000702098.2;ENST00000744874.1;ENST00000744884.1	12
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000037	chr1	853390	853397	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000228794.13	LINC01128	ENST00000445118.7;ENST00000608189.6;ENST00000657837.1;ENST00000658846.2;ENST00000666741.3;ENST00000670780.1;ENST00000685764.3;ENST00000691234.3;ENST00000691316.1;ENST00000702098.2;ENST00000744874.1;ENST00000744884.1	12
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000038	chr1	854322	854348	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000228794.13	LINC01128	ENST00000445118.7;ENST00000657837.1;ENST00000658846.2;ENST00000666741.3;ENST00000670780.1;ENST00000685764.3;ENST00000691234.3;ENST00000691316.1;ENST00000702098.2;ENST00000744874.1;ENST00000744884.1;ENST00000745642.1	12
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000040	chr1	855355	855369	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000228794.13	LINC01128	ENST00000445118.7	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000124	chr1	1064563	1064586	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000217801.13	PTPN11BP	ENST00000412397.2	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000221	chr1	1317537	1317597	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000240731.1	ENSG00000240731	ENST00000444968.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000260	chr1	1400202	1400228	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000224870.10	MRPL20-AS1	ENST00000780221.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000261	chr1	1400997	1401028	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000224870.10	MRPL20-AS1	ENST00000780221.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000418	chr1	2181820	2181847	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000182873.5	PRKCZ-AS1	ENST00000333854.2	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000419	chr1	2182741	2182779	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000182873.5	PRKCZ-AS1	ENST00000444529.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000421	chr1	2184013	2184036	200	+	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000182873.5	PRKCZ-AS1	ENST00000444529.1	1
TARDBP__K562__ENCSR584TCR__ENCFF606RXB__peak0000527	chr1	3738269	3738309	200	-	TARDBP	K562	ENCSR584TCR	ENCFF606RXB	exon	ENSG00000293478.2	GFOD3P	ENST00000647817.1;ENST00000648526.1;ENST00000648553.1;ENST00000649123.1;ENST00000649348.1	5
