peak_id	chrom	start	end	score	strand	target_label	biosample_term_name	experiment_accession	selected_file_accession	primary_region_class	overlap_gene_ids	overlap_gene_names	overlap_transcript_ids	n_primary_region_features
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000006	chr1	629914	629998	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000225630.1	MTND2P28	ENST00000457540.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000008	chr1	633976	634059	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000248527.1	MTATP6P1	ENST00000514057.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000009	chr1	633978	634066	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000248527.1	MTATP6P1	ENST00000514057.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000023	chr1	808187	808246	1000	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000237491.11	LINC01409	ENST00000443772.2	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000028	chr1	855270	855330	1000	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000228794.13	LINC01128	ENST00000445118.7	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000029	chr1	855393	855438	1000	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000228794.13	LINC01128	ENST00000445118.7	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000030	chr1	855438	855511	1000	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000228794.13	LINC01128	ENST00000445118.7	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000833	chr1	3737909	3737943	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000293478.2	GFOD3P	ENST00000647817.1;ENST00000649123.1;ENST00000649348.1	3
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000835	chr1	3740079	3740132	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000293478.2	GFOD3P	ENST00000647817.1;ENST00000648553.1;ENST00000649123.1;ENST00000649348.1	4
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0000836	chr1	3746301	3746332	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000293478.2	GFOD3P	ENST00000418088.6;ENST00000647817.1;ENST00000648553.1;ENST00000649123.1;ENST00000649348.1	5
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001851	chr1	11908190	11908217	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000199347.2;ENSG00000285646.3	ENSG00000285646;RNU5E-1	ENST00000362477.2;ENST00000649268.2;ENST00000660618.1;ENST00000661075.1;ENST00000833922.1	5
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001852	chr1	11908217	11908238	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000199347.2;ENSG00000285646.3	ENSG00000285646;RNU5E-1	ENST00000362477.2;ENST00000649268.2;ENST00000660618.1;ENST00000661075.1;ENST00000833922.1	5
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001853	chr1	11908238	11908249	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000199347.2;ENSG00000285646.3	ENSG00000285646;RNU5E-1	ENST00000362477.2;ENST00000649268.2;ENST00000660618.1;ENST00000661075.1;ENST00000833922.1	5
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0001854	chr1	11908249	11908261	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000199347.2;ENSG00000285646.3	ENSG00000285646;RNU5E-1	ENST00000362477.2;ENST00000649268.2;ENST00000660618.1;ENST00000661075.1;ENST00000833922.1	5
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0002227	chr1	16621879	16621882	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000291072.2	ENSG00000291072	ENST00000715311.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0002234	chr1	16627143	16627169	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000215908.12;ENSG00000291072.2	CROCCP2;ENSG00000291072	ENST00000412962.4;ENST00000639456.2;ENST00000639594.1	3
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0002237	chr1	16630347	16630402	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000291072.2	ENSG00000291072	ENST00000362058.2	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0002242	chr1	16632265	16632312	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000215908.12;ENSG00000291072.2	CROCCP2;ENSG00000291072	ENST00000362058.2;ENST00000412962.4;ENST00000639456.2;ENST00000715313.1	4
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0002531	chr1	19411521	19411540	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000306364.1	ENSG00000306364	ENST00000817245.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003312	chr1	27773921	27773953	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000269971.1	ENSG00000269971	ENST00000602607.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003317	chr1	27834400	27834441	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000252947.1	SCARNA1	ENST00000517138.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003318	chr1	27834445	27834506	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000252947.1	SCARNA1	ENST00000517138.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003319	chr1	27834506	27834563	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000252947.1	SCARNA1	ENST00000517138.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003326	chr1	28174019	28174110	1000	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000298310.1	ENSG00000298310	ENST00000754753.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003357	chr1	28507355	28507426	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000274266.1	SNORA73A	ENST00000364938.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003358	chr1	28507515	28507576	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000274266.1	SNORA73A	ENST00000364938.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003359	chr1	28508551	28508586	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000200087.1	SNORA73B	ENST00000363217.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003360	chr1	28508586	28508623	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000200087.1	SNORA73B	ENST00000363217.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003361	chr1	28508662	28508675	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000200087.1	SNORA73B	ENST00000363217.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003362	chr1	28508698	28508765	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000200087.1	SNORA73B	ENST00000363217.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003366	chr1	28509650	28509673	200	+	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000242125.3	SNHG3	ENST00000413987.1	1
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003377	chr1	28578759	28578793	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000197989.16;ENSG00000221539.1	SNHG12;SNORD99	ENST00000408612.1;ENST00000775062.1	2
TARDBP__HepG2__ENCSR187VEQ__ENCFF626XAA__peak0003379	chr1	28579762	28579775	200	-	TARDBP	HepG2	ENCSR187VEQ	ENCFF626XAA	exon	ENSG00000197989.16;ENSG00000278274.1	SNHG12;SNORA61	ENST00000384581.1;ENST00000775063.1;ENST00000775065.1	3
